CountryName,HappinessScore,GDP,LifeExpectancy,Equality,Corruption,EducationExpenditure,TouristsOutbound,TouristsInbound,PM25AirPollution,Population
Czech Republic,6.609000206,"20,380",79.48,,,"11,636,114,131","6,775,000","10,160,000",99.7,"10,594,438"
Saudi Arabia,6.343999863,"20,849",74.72,,,"50,231,445,033","21,071,000","16,109,000",100.0,"32,938,213"
Portugal,5.195000172,"21,291",81.12,,,"10,257,128,179","2,195,000","15,432,000",16.0,"10,300,300"
Slovenia,5.757999897,"23,601",81.18,,,"2,213,487,856","3,013,000","3,586,000",99.5,"2,066,388"
Bahrain,6.086999893,"23,739",77.04,,,"973,200,742",,"11,370,000",100.0,"1,492,584"
Cyprus,5.620999813,"25,659",80.67,,,"1,295,259,003","1,407,000","3,652,000",100.0,"1,179,551"
Malta,6.52699995,"26,748",82.45,,,"558,164,841","573,000","2,274,000",100.0,"467,999"
Spain,6.402999878,"28,208",83.33,,,"53,031,865,638","17,031,000","81,786,000",41.1,"46,593,171"
Kuwait,6.105000019,"29,040",74.81,,,"4,434,100,000",,,100.0,"4,136,528"
Italy,5.964000225,"32,110",83.24,,,"76,022,752,342","31,805,000","58,253,000",94.8,"60,536,709"
Japan,5.920000076,"38,430",84.10,,,"148,765,900,465","17,889,000","28,691,000",76.8,"126,785,797"
France,6.441999912,"38,484",82.52,,,"130,788,273,153","29,055,000","86,861,000",78.2,"67,105,513"
United Kingdom,6.714000225,"39,954",81.16,,,"143,763,250,259","74,189,000","37,651,000",66.5,"66,023,290"
Israel,7.212999821,"40,544",82.60,,,"18,822,481,187","7,597,000","3,613,000",100.0,"8,713,300"
United Arab Emirates,6.647999763,"40,699",77.41,,,,,,100.0,"9,400,145"
New Zealand,7.31400013,"42,583",81.66,,,"14,518,900,000","2,853,000","3,555,000",0.0,"4,793,900"
Belgium,6.890999794,"43,467",81.44,,,"31,379,477,183","12,153,000","8,385,000",91.9,"11,382,393"
Germany,6.951000214,"44,666",80.99,,,"165,659,780,222","92,402,000","37,452,000",89.2,"82,685,827"
Canada,7.315999985,"44,871",82.47,,,"80,359,000,000","33,060,000","20,798,000",0.0,"36,708,083"
Finland,7.468999863,"45,805",81.43,,,"16,344,650,063","9,330,000","3,180,000",0.0,"5,508,214"
"Hong Kong SAR, China",5.472000122,"46,194",84.68,,,"10,103,754,964","91,304,000","27,884,000",,"7,391,700"
Austria,7.006000042,"47,381",81.64,,,"21,666,177,923","11,491,000","29,460,000",85.1,"8,797,566"
Netherlands,7.376999855,"48,483",81.56,,,"39,851,182,113",,"17,924,000",99.6,"17,131,296"
Sweden,7.28399992,"53,253",82.31,,,"38,378,582,661","21,232,000","7,054,000",3.6,"10,057,698"
Australia,7.28399992,"53,794",82.50,,,"64,831,452,239","10,932,000","8,815,000",24.9,"24,601,860"
Denmark,7.521999836,"57,219",81.00,,,"22,891,511,138","8,102,000","11,743,000",56.9,"5,764,980"
Singapore,6.572000027,"57,714",82.90,,,"8,611,200,000","9,889,000","13,903,000",100.0,"5,612,253"
United States,6.993000031,"59,928",78.54,,,"876,361,977,803","87,703,000","76,941,000",3.3,"325,147,121"
Qatar,6.375,"63,249",78.33,,,"3,698,401,489",,"2,256,500",100.0,"2,639,211"
Ireland,6.977000237,"68,885",81.96,,,"12,038,346,294","8,171,000","10,338,000",0.3,"4,811,321"
Iceland,7.504000187,"71,312",82.20,,,"1,830,655,862","619,000","2,225,000",10.3,"343,400"
Norway,7.537000179,"75,704",82.51,,,"26,464,636,821","8,170,000","6,252,000",2.0,"5,276,968"
Switzerland,7.493999958,"80,343",83.60,,,"30,798,102,371","15,318,000","9,889,000",49.3,"8,450,851"
Luxembourg,6.862999916,"104,499",82.69,,,"2,306,866,505","1,802,000","1,046,000",68.8,"596,336"
